column,name,rho,abs_rho,q,significant,folds,models_agree,cons_raw,n_true,diff,ci_lo,ci_hi,ci_excludes_zero,score,rank,label,direction,group,what_we_see,in_n1_top30
f_question_type=what,question_type,-0.1654095319955904,0.1654095319955904,0.3717665423131729,False,5,3,0.12654038514882668,,,,,False,0.981812246990195,1,question_type=what,this level = fewer misses,Question structure,The leading question word of the actual question.,True
f_max_word_len,max_word_len,0.1649488204326223,0.1649488204326223,0.3717665423131729,False,5,3,0.08889694003899923,,,,,False,0.9264730609215284,2,max_word_len,higher = more misses,Size and shape,Length of the longest word.,True
f_is_definition_ask,is_definition_ask,-0.1525227734797958,0.1525227734797958,0.3717665423131729,False,5,3,0.0845028033208222,24.0,-0.05559895833333334,-0.17856770833333332,0.08763563368055549,False,0.8863542854950377,3,is_definition_ask,higher = fewer misses,Exam-item traps,Whether the item is a short What is / What are definition.,False
f_domain_hint=legal,domain_hint,0.1473524728735676,0.1473524728735676,0.377576330930536,False,4,3,0.136077024408863,,,,,False,0.8763898195088553,4,domain_hint=legal,this level = more misses,Domain and register,"Subject area of the prompt, from keyword lexicons.",False
f_is_long_scenario,is_long_scenario,0.1335972335942788,0.1335972335942788,0.39201032471905,False,4,3,0.11350509738988901,43.0,0.10948876459621232,0.010907990710757834,0.21941222647433986,True,0.8565372407359233,5,is_long_scenario,higher = more misses,Exam-item traps,Whether the stem is a long hypo (80 or more words).,True
f_min_word_zipf,min_word_zipf,-0.1523254355746497,0.1523254355746497,0.3717665423131729,False,4,3,0.10153502239354721,,,,,False,0.8402891843788093,6,min_word_zipf,higher = fewer misses,Rarity and vocabulary,Corpus frequency of the rarest word in the prompt.,True
f_aggregation_flag,aggregation_flag,0.1355745823521328,0.1355745823521328,0.39201032471905,False,3,3,0.13311898648694334,92.0,0.09184397163120567,0.010040471785383922,0.1675832562442183,True,0.8200977424990226,7,aggregation_flag,higher = more misses,Reasoning and multi-hop,"Whether the prompt asks for a count, total, ranking or extreme.",True
f_is_best_answer_judgment,is_best_answer_judgment,0.126857792527416,0.126857792527416,0.4705542416243133,False,3,3,0.13391079926413826,15.0,0.22482180293501045,0.017464360587002063,0.42924633123689715,True,0.7975212087584747,8,is_best_answer_judgment,higher = more misses,Exam-item traps,Whether the item asks for the best / most likely / most nearly answer.,True
f_stem_word_count,stem_word_count,0.1339748409165119,0.1339748409165119,0.39201032471905,False,4,3,0.07635607826354403,,,,,False,0.7541891056952291,9,stem_word_count,higher = more misses,Exam-item traps,"Word count of the question stem, ignoring lettered options.",True
f_rare_word_count,rare_word_count,0.1340987669275616,0.1340987669275616,0.39201032471905,False,3,3,0.09207806739473685,,,,,False,0.7071154813553651,10,rare_word_count,higher = more misses,Rarity and vocabulary,How many words have a Zipf frequency below 3.0.,True
f_oov_like_count,oov_like_count,0.1215209722451775,0.1215209722451775,0.5313842203255935,False,3,3,0.08724051475104994,,,,,False,0.6659467765672542,11,oov_like_count,higher = more misses,Rarity and vocabulary,How many tokens look like identifiers rather than English words.,True
f_has_escape_option,has_escape_option,0.1187042993419695,0.1187042993419695,0.5313842203255935,False,2,3,0.13919896733430828,,,,,False,0.6629374635151637,12,has_escape_option,higher = more misses,Exam-item traps,Whether an option is all/none of the above or cannot be determined.,True
f_is_except_ask,is_except_ask,0.0997171091968276,0.0997171091968276,0.7077501191808926,False,2,3,0.12419455569582905,11.0,0.23136194660358234,-0.01845217979046975,0.48919595584093695,False,0.5897242034621373,13,is_except_ask,higher = more misses,Exam-item traps,Whether the question is an except / NOT / least / incorrect item.,True
f_content_word_count,content_word_count,0.1174044348507682,0.1174044348507682,0.5313842203255935,False,2,3,0.08430324189862982,,,,,False,0.5805274018376214,14,content_word_count,higher = more misses,Readability and lexical difficulty,How many words carry retrievable content.,True
f_question_category=Math,question_category,-0.0935472083030592,0.0935472083030592,0.7077501191808926,False,2,3,0.0893240449024731,,,,,False,0.522837182149769,15,question_category=Math,this level = fewer misses,Domain and register,"Coarse type of the ask, chosen by weighted evidence rather than first-match-wins.",False
f_difficult_word_count,difficult_word_count,0.0987838769835256,0.0987838769835256,0.7077501191808926,False,2,3,0.07710710033312357,,,,,False,0.5195304344307428,16,difficult_word_count,higher = more misses,Readability and lexical difficulty,How many words are outside the Dale-Chall list of familiar words.,True
f_year_count,year_count,0.1012364586429278,0.1012364586429278,0.7077501191808926,False,2,2,0.05563554803920903,,,,,False,0.4953525724556337,17,year_count,higher = more misses,Temporal constraints,How many four-digit years the prompt names.,False
f_is_ambiguous,is_ambiguous,0.1042888097016041,0.1042888097016041,0.7077501191808926,False,1,3,0.09180008922308565,,,,,False,0.4856174888193475,18,is_ambiguous,higher = more misses,Ambiguity and underspecification,Whether the prompt is too underspecified to retrieve for.,True
f_core_question_ratio,core_question_ratio,0.102143492995543,0.102143492995543,0.7077501191808926,False,1,3,0.08512419314351079,,,,,False,0.4701892351657043,19,core_question_ratio,higher = more misses,Prompt-engineering artifacts,"Share of the prompt that is the actual question, after removing instructions, examples and pasted context.",True
f_is_yes_no_question,is_yes_no_question,0.0883912471904459,0.0883912471904459,0.7077501191808926,False,1,3,0.06705845582488983,,,,,False,0.40681925872053776,20,is_yes_no_question,higher = more misses,Question structure,Whether the prompt is a yes/no question.,False
f_context_token_count,context_token_count,0.0933175494716661,0.0933175494716661,0.7077501191808926,False,1,3,0.05623437532120107,,,,,False,0.4046694092125455,21,context_token_count,higher = more misses,Size and shape,Length of the prompt in GPT-style BPE tokens.,True
f_is_comparison,is_comparison,0.0973725254116787,0.0973725254116787,0.7077501191808926,False,1,2,0.04706523846587513,49.0,0.030220573077715973,-0.05986755308183882,0.11872345908060192,False,0.4025269088888158,22,is_comparison,higher = more misses,Reasoning and multi-hop,Whether the prompt compares two or more things.,False
f_causal_flag,causal_flag,0.0914324883213717,0.0914324883213717,0.7077501191808926,False,1,3,0.058046492017087205,62.0,0.054345467100720135,-0.03231589720824705,0.13992527374962996,False,0.4021446972256215,23,causal_flag,higher = more misses,Reasoning and multi-hop,Whether the prompt asks about causes or effects.,False
f_temporal_type=range,temporal_type,0.0870537888588608,0.0870537888588608,0.7077501191808926,False,1,3,0.06349948568322206,,,,,False,0.3980671753129106,24,temporal_type=range,this level = more misses,Temporal constraints,What kind of time constraint the prompt uses.,True
f_is_multi_part,is_multi_part,-0.0786591735763482,0.0786591735763482,0.7440876394450644,False,1,3,0.07765144213480175,34.0,-0.08603538976566238,-0.17059421329507413,0.013710345926988653,False,0.3955628751075052,25,is_multi_part,higher = fewer misses,Question structure,Whether the prompt asks more than one thing.,False
f_contains_negation,contains_negation,0.0847727371283852,0.0847727371283852,0.7281293985006564,False,1,3,0.06371857341191978,96.0,0.04628623188405795,-0.02807442632850242,0.12218297101449273,False,0.3921763111861245,26,contains_negation,higher = more misses,Reasoning and multi-hop,Whether the prompt uses a negation word.,False
f_has_relative_recency,has_relative_recency,-0.0551528295267442,0.0551528295267442,0.7875553280151312,False,1,3,0.08267757562593604,28.0,-0.10476190476190476,-0.1748677248677249,-0.023660714285714386,True,0.38883489720363296,27,has_relative_recency,higher = fewer misses,Temporal constraints,Whether the prompt asks for whatever is newest rather than a fixed date.,False
