feature,tier,folds,pooled_rho,bh_q,n_true,fail_on,fail_off,diff,ci_lo,ci_hi
f_is_long_scenario,A,4,0.1335972335942788,0.39201032471905,43,0.29767441860465116,0.18818565400843884,0.10948876459621232,0.010907990710757834,0.21941222647433986
f_aggregation_flag,A,3,0.1355745823521328,0.39201032471905,92,0.26666666666666666,0.174822695035461,0.09184397163120567,0.010040471785383922,0.1675832562442183
f_is_best_answer_judgment,A,3,0.126857792527416,0.4705542416243133,15,0.41777777777777775,0.1929559748427673,0.22482180293501045,0.017464360587002063,0.42924633123689715
f_question_type=what,B,5,-0.1654095319955904,0.3717665423131729,-1,,,,,
f_max_word_len,B,5,0.1649488204326223,0.3717665423131729,-1,,,,,
f_is_definition_ask,B,5,-0.1525227734797958,0.3717665423131729,24,0.15416666666666665,0.20976562499999998,-0.05559895833333334,-0.17856770833333332,0.08763563368055549
f_min_word_zipf,B,4,-0.1523254355746497,0.3717665423131729,-1,,,,,
f_domain_hint=legal,B,4,0.1473524728735676,0.377576330930536,-1,,,,,
f_stem_word_count,B,4,0.1339748409165119,0.39201032471905,-1,,,,,
f_rare_word_count,B,3,0.1340987669275616,0.39201032471905,-1,,,,,
f_oov_like_count,B,3,0.1215209722451775,0.5313842203255935,-1,,,,,
f_has_relative_recency,B,1,-0.0551528295267442,0.7875553280151312,28,0.11071428571428572,0.2154761904761905,-0.10476190476190476,-0.1748677248677249,-0.023660714285714386
f_is_except_ask,C,2,0.0997171091968276,0.7077501191808926,11,0.4272727272727273,0.19591078066914497,0.23136194660358234,-0.01845217979046975,0.48919595584093695
