feature,spearman,abs_spearman,p,coverage,q,significant
f_stem_word_count,0.19284326342307484,0.19284326342307484,0.0011830209412329944,1.0,0.013013230353562938,True
f_is_long_scenario,0.16584551782890627,0.16584551782890627,0.005402455282984932,1.0,0.0266495485983554,True
f_is_best_answer_judgment,0.16009811606758317,0.16009811606758317,0.007268058708642382,1.0,0.0266495485983554,True
f_is_except_ask,0.12503541240900076,0.12503541240900076,0.03651945670482591,1.0,0.10042850593827125,False
f_has_escape_option,0.11229463547717367,0.11229463547717367,0.06057535028463808,1.0,0.13326577062620376,False
f_is_definition_ask,-0.09206303970937842,0.09206303970937842,0.12432185875995244,1.0,0.22792340772657949,False
f_is_hypothetical_scenario,0.07511916213095879,0.07511916213095879,0.21015760911965356,1.0,0.33024767147374134,False
f_option_mean_chars,0.07018962867812792,0.07018962867812792,0.2417244448312325,1.0,0.3323711116429447,False
f_option_length_spread,-0.04891946657956226,0.04891946657956226,0.41484014131197605,1.0,0.5070268393813041,False
f_mc_option_count,0.029382914890472175,0.029382914890472175,0.6244336411452829,1.0,0.6868770052598112,False
f_is_formula_setup,-0.0071077351960275,0.0071077351960275,0.9057470816692134,1.0,0.9057470816692134,False
