feature,auc,auc_abs,ci_lo,ci_hi,p,coverage,n,q,significant
f_instruction_line_count,0.9396369647066025,0.9396369647066025,0.9218972040662091,0.9550910190731913,1.7960548008500577e-79,1.0,900,2.550397817207082e-77,True
f_n_sentences,0.7629557072454008,0.7629557072454008,0.7232361209472332,0.7985767033524882,3.036209480141922e-29,1.0,900,8.622834923603059e-28,True
f_definite_np_without_entity_count,0.7488291652637056,0.7488291652637056,0.7105714558214964,0.7893658828113662,2.1549968115311965e-25,1.0,900,3.400106080415888e-24,True
f_context_token_count,0.7438320732192599,0.7438320732192599,0.6808551202096583,0.8003384411459711,2.6267356498239916e-24,1.0,900,3.7299646227500684e-23,True
f_question_length_chars,0.7379932045670207,0.7379932045670207,0.6766693463347017,0.7920168519247617,3.1263640062683846e-23,1.0,900,3.699530740750922e-22,True
f_type_token_ratio,0.26349138326854205,0.736508616731458,0.2209419406427024,0.3124496542717679,5.785554841156982e-23,1.0,900,6.31960605726378e-22,True
f_negation_count,0.7343812176681258,0.7343812176681258,0.6938622530093118,0.7757507600164922,8.509767905136928e-24,1.0,900,1.0985336750267672e-22,True
f_question_length_words,0.7325675717040618,0.7325675717040618,0.6789717309593083,0.7871035319995071,2.916358984086783e-22,1.0,900,2.9580212552880228e-21,True
f_punctuation_density,0.728527043986654,0.728527043986654,0.6667398845213487,0.7895475241914437,1.303823686012358e-21,1.0,900,1.2342864227583655e-20,True
f_content_word_count,0.7268052281979859,0.7268052281979859,0.6659595467723404,0.7864258407374457,2.9409915994992624e-21,1.0,900,2.6101300445555954e-20,True
f_difficult_word_count,0.7080948299611253,0.7080948299611253,0.6468015350832611,0.7725586074246589,3.703150590338779e-18,1.0,900,2.5040351610862222e-17,True
f_quoted_span_count,0.7069928678563776,0.7069928678563776,0.6530995259992941,0.7626525427186356,1.6902839254193396e-18,1.0,900,1.2001015870477313e-17,True
f_constraint_count,0.7016743701980469,0.7016743701980469,0.6387070030348335,0.7628156577818251,8.404298438505456e-19,1.0,900,6.6300576570431925e-18,True
f_quoted_span_word_count,0.6972053016621261,0.6972053016621261,0.6458837896908608,0.7525805201800873,8.237869207092853e-17,1.0,900,5.085988814813849e-16,True
f_oov_like_count,0.6913970430683523,0.6913970430683523,0.6268302483146713,0.7565174130604824,9.825950529901251e-17,1.0,900,5.813687396858241e-16,True
f_question_category_score,0.6899813278643361,0.6899813278643361,0.6331031913849465,0.7516790260624153,5.016296583652279e-16,1.0,900,2.849256459514494e-15,True
f_word_entropy,0.680905445529401,0.680905445529401,0.6081363705935146,0.748285895795399,4.411650979752482e-14,1.0,900,2.320201626388342e-13,True
f_n_clauses,0.6794591202669197,0.6794591202669197,0.622286914316024,0.7289516784533021,6.226580287167479e-14,1.0,900,3.157765717063507e-13,True
f_anchor_count,0.6774005938351342,0.6774005938351342,0.6136001945926618,0.737301472727855,1.2533048912641766e-13,1.0,900,5.932309818650436e-13,True
f_difficult_word_ratio,0.32330343750956564,0.6766965624904344,0.2728003872711018,0.37387237115394567,1.6816266209199656e-13,1.0,900,7.702934844214035e-13,True
f_entity_count,0.6760384462334323,0.6760384462334323,0.6064173486170189,0.7407312399828581,1.855871656549807e-13,1.0,900,8.235430475939769e-13,True
f_has_output_format_request,0.6716918179313722,0.6716918179313722,0.6440695757273001,0.7037979890801579,1.3435090212844842e-18,1.0,900,1.0040962159073513e-17,True
f_output_format=steps,0.6671309192200557,0.6671309192200557,0.6426575139029322,0.6901542730962043,8.799799154753515e-20,1.0,900,7.350420470441172e-19,True
f_has_chain_of_thought_cue,0.6648351648351649,0.6648351648351649,0.6234996156380409,0.7083385678391959,4.9124172311013685e-57,1.0,900,3.487816234081972e-55,True
f_distinct_entity_types,0.6645749793382105,0.6645749793382105,0.5891491805919221,0.7266828302268536,3.641294312352359e-12,1.0,900,1.4362883120945415e-11,True
f_id_like_token_count,0.6616899813278643,0.6616899813278643,0.6242484606745383,0.6985447141770057,2.482335519514832e-15,1.0,900,1.3557370914273314e-14,True
f_question_type=when,0.6590422112706236,0.6590422112706236,0.6295394027888546,0.6883308483594843,3.6724877462222886e-17,1.0,900,2.370423908925295e-16,True
f_numeral_count,0.6541216443723408,0.6541216443723408,0.586747218228581,0.7162165600799548,9.027384430027437e-11,1.0,900,3.2868938181125537e-10,True
f_has_math_expression,0.6529584621506628,0.6529584621506628,0.6150275902710811,0.6981838634474459,6.700824145717557e-14,1.0,900,3.281093202385838e-13,True
f_temporal_type=range,0.6507928005142489,0.6507928005142489,0.6071649572701538,0.6947846433062,3.0767205125771043e-32,1.0,900,1.092235781964872e-30,True
f_polysyllable_count,0.6502647770057242,0.6502647770057242,0.5960797405514427,0.7046368693146952,3.521941565090904e-10,1.0,900,1.2197943957144107e-09,True
f_dale_chall_score,0.6489102819186384,0.6489102819186384,0.5789428679667405,0.7113018906707345,5.216758088944705e-10,1.0,900,1.7637610681670192e-09,True
f_hedge_word_count,0.6423903394655484,0.6423903394655484,0.5884541391740387,0.6933277584310851,1.1716031353598607e-11,1.0,900,4.4964228438135195e-11,True
