feature,spearman,abs_spearman,p,coverage,q,significant
f_rare_word_count,0.1949041900318302,0.1949041900318302,0.0010444311634520392,1.0,0.09727337797160353,False
f_oov_like_count,0.1871459033048924,0.1871459033048924,0.0016587312381352152,1.0,0.09727337797160353,False
f_context_token_count,0.1816331578366604,0.1816331578366604,0.002279844796209458,1.0,0.09727337797160353,False
f_min_word_zipf,-0.16250092736949526,0.16250092736949526,0.006427562714936977,1.0,0.13863149029355915,False
f_question_length_words,0.16097231959635716,0.16097231959635716,0.0069515395087054776,1.0,0.13863149029355915,False
f_content_word_count,0.15905693776682242,0.15905693776682242,0.007661770951343838,1.0,0.13863149029355915,False
f_question_type=what,-0.15805879635354947,0.15805879635354947,0.008056945408679706,1.0,0.13863149029355915,False
f_aggregation_flag,0.1566062161756775,0.1566062161756775,0.008664468143347447,1.0,0.13863149029355915,False
f_question_length_chars,0.1536090148654322,0.1536090148654322,0.010048170205467983,1.0,0.14290730958887798,False
f_max_word_len,0.14635355883115514,0.14635355883115514,0.014237256655610426,1.0,0.18223688519181344,False
f_mtld,-0.14427537278998612,0.14427537278998612,0.015690225367992815,1.0,0.18257716791846185,False
f_domain_hint=finance,-0.1382056418562014,0.1382056418562014,0.020701226004077096,1.0,0.22081307737682235,False
f_type_token_ratio,-0.13125322924649716,0.13125322924649716,0.028094084851459946,1.0,0.27661868161437486,False
f_temporal_type=range,0.12914258525228794,0.12914258525228794,0.030745110189740424,1.0,0.28109815030619817,False
f_domain_hint=legal,0.12546469970226418,0.12546469970226418,0.03587577305711577,1.0,0.3061399300873879,False
f_definite_np_without_entity_count,0.11776999108669281,0.11776999108669281,0.0489864734057846,1.0,0.37837433400576165,False
f_rare_word_ratio,0.11623366959102319,0.11623366959102319,0.05203420327563601,1.0,0.37837433400576165,False
f_max_bpe_fertility,0.11453560297321723,0.11453560297321723,0.05558468059497286,1.0,0.37837433400576165,False
f_hop_estimate,0.11381160859007354,0.11381160859007354,0.057158368591419005,1.0,0.37837433400576165,False
f_max_parse_depth,0.11281892226648708,0.11281892226648708,0.05937583639386329,1.0,0.37837433400576165,False
f_is_ambiguous,0.11115512149306742,0.11115512149306742,0.06325139491663503,1.0,0.37837433400576165,False
f_difficult_word_count,0.11041823505349463,0.11041823505349463,0.06503308865724028,1.0,0.37837433400576165,False
f_jargon_ratio,0.10726306154075979,0.10726306154075979,0.07313321984928177,1.0,0.40700226698730724,False
f_n_sentences,0.1052144408712718,0.1052144408712718,0.07881902755981211,1.0,0.4203681469856646,False
f_anchor_count,0.10275741036964134,0.10275741036964134,0.08610450605184551,1.0,0.4251910412567479,False
f_core_question_ratio,0.1026720808035135,0.1026720808035135,0.08636693025527692,1.0,0.4251910412567479,False
f_unit_count,0.09783465086760229,0.09783465086760229,0.10232506354990178,1.0,0.4543487268930061,False
f_temporal_expression_count,0.09775485115017885,0.09775485115017885,0.10260666198056505,1.0,0.4543487268930061,False
f_numeral_count,0.09766106948716467,0.09766106948716467,0.10293838343669669,1.0,0.4543487268930061,False
f_is_imperative,0.09250978013629435,0.09250978013629435,0.12249792402388471,1.0,0.5226578091685747,False
f_entity_count,0.09096681124834524,0.09096681124834524,0.12888677206660124,1.0,0.5321776395008051,False
f_is_multi_part,-0.08734652377787187,0.08734652377787187,0.14488570688271118,1.0,0.5795428275308447,False
f_has_file_path,0.08480065008698318,0.08480065008698318,0.1570131483613804,1.0,0.601460632837041,False
f_vague_quantifiers_count,0.08406210535182154,0.08406210535182154,0.1606706288280893,1.0,0.601460632837041,False
f_polysyllable_count,0.0830045157895521,0.0830045157895521,0.16601909910657559,1.0,0.601460632837041,False
f_n_clauses,0.08239512663558586,0.08239512663558586,0.16916080298541777,1.0,0.601460632837041,False
f_constraint_count,0.07839727810170453,0.07839727810170453,0.19087912089434916,1.0,0.6492894888830523,False
f_has_code_span,0.07794833742040827,0.07794833742040827,0.193440007141823,1.0,0.6492894888830523,False
f_nested_modifier_depth,0.07718866742573395,0.07718866742573395,0.19783039114405498,1.0,0.6492894888830523,False
f_lexical_rarity_score,0.07562527762783303,0.07562527762783303,0.2070929945431103,1.0,0.6573462607865779,False
f_template_repetition_score,0.07234855869541276,0.07234855869541276,0.2275132957552198,1.0,0.6573462607865779,False
f_domain_hint=science,0.07104919331612104,0.07104919331612104,0.23599366249215306,1.0,0.6573462607865779,False
f_acronym_count,0.0694258319125474,0.0694258319125474,0.24689786667090433,1.0,0.6573462607865779,False
f_question_type=which,0.06935078072595005,0.06935078072595005,0.24741034166221773,1.0,0.6573462607865779,False
f_language_code=en,0.06799331403370724,0.06799331403370724,0.2568076175709674,1.0,0.6573462607865779,False
f_is_english,0.06799331403370724,0.06799331403370724,0.2568076175709674,1.0,0.6573462607865779,False
f_has_exclusion,-0.06759895705900813,0.06759895705900813,0.2595832201175465,1.0,0.6573462607865779,False
f_word_entropy,0.06753028945591186,0.06753028945591186,0.2600686273365339,1.0,0.6573462607865779,False
f_id_like_token_count,0.06745330241722923,0.06745330241722923,0.26061358673206964,1.0,0.6573462607865779,False
f_temporal_type=none,-0.06694126804213954,0.06694126804213954,0.2642580549016811,1.0,0.6573462607865779,False
f_has_temporal_constraint,0.06694126804213954,0.06694126804213954,0.2642580549016811,1.0,0.6573462607865779,False
f_has_date_like,0.06655270521460446,0.06655270521460446,0.26704691844454725,1.0,0.6573462607865779,False
f_question_category_score,0.06395276367186398,0.06395276367186398,0.28622513131887467,1.0,0.6782458420159163,False
f_gunning_fog,-0.06356714912373736,0.06356714912373736,0.2891464755432161,1.0,0.6782458420159163,False
f_temporal_risk_score,0.0632670483938359,0.0632670483938359,0.29143376024121403,1.0,0.6782458420159163,False
f_language_confidence,-0.062443663930801835,0.062443663930801835,0.2977713522966048,1.0,0.6806202338208109,False
f_conditional_flag,0.06010845012520256,0.06010845012520256,0.31624035880402634,1.0,0.7058663821213929,False
f_negation_count,0.059663103523752564,0.059663103523752564,0.31984570439875615,1.0,0.7058663821213929,False
f_proper_noun_token_count,0.05854421224627567,0.05854421224627567,0.3290212899846817,1.0,0.7138089003057502,False
f_year_count,0.057651545331592356,0.057651545331592356,0.3364621723413207,1.0,0.7153603594956516,False
f_char_entropy,0.05577905252246888,0.05577905252246888,0.3524172338201586,1.0,0.7153603594956516,False
f_requires_synthesis_flag,0.055153902185102924,0.055153902185102924,0.35784832748697276,1.0,0.7153603594956516,False
f_retrieval_difficulty_score,0.05480568245065028,0.05480568245065028,0.3608961367812445,1.0,0.7153603594956516,False
f_politeness_filler_count,0.05462384217314682,0.05462384217314682,0.3624941199766715,1.0,0.7153603594956516,False
f_contains_negation,0.05453585322250681,0.05453585322250681,0.3632689325563856,1.0,0.7153603594956516,False
f_root_type_token_ratio,0.05338077061289641,0.05338077061289641,0.3735357363148832,1.0,0.724432943156137,False
f_is_yes_no_question,0.05157078211665751,0.05157078211665751,0.3899786639871315,1.0,0.7363624501392535,False
f_question_complexity_score,-0.051439015789100685,0.051439015789100685,0.3911925516364784,1.0,0.7363624501392535,False
f_multi_need_score,0.04993375125937302,0.04993375125937302,0.40522100397292604,1.0,0.7503527918479657,False
f_mean_word_zipf,-0.04932993590504666,0.04932993590504666,0.41093131910069675,1.0,0.7503527918479657,False
f_unresolved_pronoun_count,-0.04877601787764877,0.04877601787764877,0.4162113142281684,1.0,0.7503527918479657,False
f_uppercase_char_ratio,-0.048036516318677454,0.048036516318677454,0.4233220260435698,1.0,0.752572490744124,False
f_n_lines,0.046973636501643136,0.046973636501643136,0.43366508865716163,1.0,0.7603990595632423,False
f_stopword_ratio,0.044762984788095504,0.044762984788095504,0.4556364355365343,1.0,0.788127888495627,False
f_question_category=Fact Retrieval,0.04400043286384559,0.04400043286384559,0.4633574096141916,1.0,0.7907966457415536,False
f_flesch_reading_ease,0.04317619382202065,0.04317619382202065,0.47178389891320766,1.0,0.7945834086959287,False
f_entity_org_count,0.04061438604891488,0.04061438604891488,0.4985025370218609,1.0,0.8066642336638421,False
