question_id,question_category,llm_model,n_correct,n_fail,n_blank,fail_rate
109,business,gemini-2.5-flash-lite,5,5,0,0.5
138,business,gemini-2.5-flash-lite,10,0,0,0.0
208,business,gemini-2.5-flash-lite,10,0,0,0.0
240,business,gemini-2.5-flash-lite,0,10,0,1.0
246,business,gemini-2.5-flash-lite,10,0,0,0.0
271,business,gemini-2.5-flash-lite,2,8,1,0.8
283,business,gemini-2.5-flash-lite,10,0,0,0.0
287,business,gemini-2.5-flash-lite,9,1,0,0.1
290,business,gemini-2.5-flash-lite,3,7,0,0.7
307,business,gemini-2.5-flash-lite,0,10,0,1.0
373,business,gemini-2.5-flash-lite,6,4,0,0.4
425,business,gemini-2.5-flash-lite,10,0,0,0.0
468,business,gemini-2.5-flash-lite,8,2,2,0.2
507,business,gemini-2.5-flash-lite,7,3,0,0.3
520,business,gemini-2.5-flash-lite,10,0,0,0.0
586,business,gemini-2.5-flash-lite,10,0,0,0.0
623,business,gemini-2.5-flash-lite,10,0,0,0.0
644,business,gemini-2.5-flash-lite,0,10,0,1.0
769,business,gemini-2.5-flash-lite,10,0,0,0.0
862,business,gemini-2.5-flash-lite,10,0,0,0.0
936,law,gemini-2.5-flash-lite,0,10,0,1.0
962,law,gemini-2.5-flash-lite,5,5,0,0.5
967,law,gemini-2.5-flash-lite,0,10,0,1.0
1009,law,gemini-2.5-flash-lite,3,7,1,0.7
1114,law,gemini-2.5-flash-lite,9,1,0,0.1
1163,law,gemini-2.5-flash-lite,10,0,0,0.0
1200,law,gemini-2.5-flash-lite,7,3,0,0.3
1205,law,gemini-2.5-flash-lite,4,6,0,0.6
1271,law,gemini-2.5-flash-lite,9,1,0,0.1
1286,law,gemini-2.5-flash-lite,10,0,0,0.0
1326,law,gemini-2.5-flash-lite,10,0,0,0.0
1360,law,gemini-2.5-flash-lite,9,1,0,0.1
1422,law,gemini-2.5-flash-lite,0,10,0,1.0
1485,law,gemini-2.5-flash-lite,10,0,0,0.0
1569,law,gemini-2.5-flash-lite,0,10,2,1.0
1601,law,gemini-2.5-flash-lite,0,10,0,1.0
1642,law,gemini-2.5-flash-lite,0,10,0,1.0
1647,law,gemini-2.5-flash-lite,1,9,0,0.9
1769,law,gemini-2.5-flash-lite,8,2,0,0.2
1979,law,gemini-2.5-flash-lite,3,7,0,0.7
2052,psychology,gemini-2.5-flash-lite,0,10,0,1.0
2054,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2055,psychology,gemini-2.5-flash-lite,2,8,0,0.8
2056,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2234,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2277,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2318,psychology,gemini-2.5-flash-lite,0,10,0,1.0
2337,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2368,psychology,gemini-2.5-flash-lite,9,1,0,0.1
2386,psychology,gemini-2.5-flash-lite,5,5,0,0.5
2449,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2483,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2519,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2526,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2604,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2615,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2631,psychology,gemini-2.5-flash-lite,9,1,0,0.1
2643,psychology,gemini-2.5-flash-lite,1,9,0,0.9
2663,psychology,gemini-2.5-flash-lite,10,0,0,0.0
2694,psychology,gemini-2.5-flash-lite,0,10,0,1.0
2845,biology,gemini-2.5-flash-lite,10,0,0,0.0
2871,biology,gemini-2.5-flash-lite,10,0,0,0.0
2884,biology,gemini-2.5-flash-lite,10,0,0,0.0
2890,biology,gemini-2.5-flash-lite,9,1,0,0.1
2903,biology,gemini-2.5-flash-lite,9,1,0,0.1
2926,biology,gemini-2.5-flash-lite,5,5,0,0.5
3014,biology,gemini-2.5-flash-lite,6,4,0,0.4
3045,biology,gemini-2.5-flash-lite,10,0,0,0.0
3071,biology,gemini-2.5-flash-lite,10,0,0,0.0
3139,biology,gemini-2.5-flash-lite,10,0,0,0.0
3231,biology,gemini-2.5-flash-lite,10,0,0,0.0
3296,biology,gemini-2.5-flash-lite,10,0,0,0.0
3309,biology,gemini-2.5-flash-lite,10,0,0,0.0
3323,biology,gemini-2.5-flash-lite,10,0,0,0.0
3341,biology,gemini-2.5-flash-lite,10,0,0,0.0
