feature,spearman,abs_spearman,p,coverage,q,significant
f_question_type=what,-0.1654095319955904,0.1654095319955904,0.005527187360059157,1.0,0.37176654231317297,False
f_max_word_len,0.16494882043262238,0.16494882043262238,0.005661796531289911,1.0,0.37176654231317297,False
f_is_definition_ask,-0.15252277347979587,0.15252277347979587,0.010596004495869026,1.0,0.37176654231317297,False
f_min_word_zipf,-0.1523254355746497,0.1523254355746497,0.010698317764407855,1.0,0.37176654231317297,False
f_domain_hint=legal,0.14735247287356762,0.14735247287356762,0.013581882407573237,1.0,0.377576330930536,False
f_aggregation_flag,0.13557458235213288,0.13557458235213288,0.023272355165405656,1.0,0.39201032471905,False
f_rare_word_count,0.13409876692756165,0.13409876692756165,0.024831875634428742,1.0,0.39201032471905,False
f_stem_word_count,0.13397484091651193,0.13397484091651193,0.02496683507897579,1.0,0.39201032471905,False
f_is_long_scenario,0.1335972335942788,0.1335972335942788,0.025381963471017625,1.0,0.39201032471905,False
f_is_best_answer_judgment,0.12685779252741608,0.12685779252741608,0.03385282313843981,1.0,0.47055424162431336,False
f_oov_like_count,0.12152097224517759,0.12152097224517759,0.04216636980531101,1.0,0.5313842203255935,False
f_has_escape_option,0.1187042993419695,0.1187042993419695,0.04720695123681533,1.0,0.5313842203255935,False
f_content_word_count,0.11740443485076828,0.11740443485076828,0.04969780477865263,1.0,0.5313842203255935,False
f_is_ambiguous,0.10428880970160412,0.10428880970160412,0.08150282033488002,1.0,0.7077501191808926,False
f_question_length_chars,0.10251477641339374,0.10251477641339374,0.08685239089551683,1.0,0.7077501191808926,False
f_core_question_ratio,0.10214349299554304,0.10214349299554304,0.08800690752841536,1.0,0.7077501191808926,False
f_year_count,0.10123645864292789,0.10123645864292789,0.09087915743766113,1.0,0.7077501191808926,False
f_is_except_ask,0.09971710919682769,0.09971710919682769,0.09585791042572524,1.0,0.7077501191808926,False
f_difficult_word_count,0.09878387698352563,0.09878387698352563,0.09902212632457942,1.0,0.7077501191808926,False
f_is_comparison,0.0973725254116787,0.0973725254116787,0.10396433437438687,1.0,0.7077501191808926,False
f_question_category=Math,-0.09354720830305922,0.09354720830305922,0.11834259905209732,1.0,0.7077501191808926,False
f_context_token_count,0.09331754947166612,0.09331754947166612,0.11925286839112484,1.0,0.7077501191808926,False
f_causal_flag,0.09143248832137171,0.09143248832137171,0.12693202177657356,1.0,0.7077501191808926,False
f_is_yes_no_question,0.0883912471904459,0.0883912471904459,0.14012087637249335,1.0,0.7077501191808926,False
f_negation_count,0.08836498408220998,0.08836498408220998,0.14023917098552335,1.0,0.7077501191808926,False
f_question_length_words,0.08706625449805273,0.08706625449805273,0.14618474206530505,1.0,0.7077501191808926,False
