feature,spearman,abs_spearman,p,coverage,q,significant
f_max_word_len,0.1700754001944844,0.1700754001944844,0.0043173049971651015,1.0,0.5016764618948285,False
f_is_definition_ask,-0.15798244219464827,0.15798244219464827,0.008087909196278718,1.0,0.5016764618948285,False
f_question_type=what,-0.1477017380567975,0.1477017380567975,0.0133590708360832,1.0,0.5016764618948285,False
f_min_word_zipf,-0.1459608567893276,0.1459608567893276,0.014502405467635674,1.0,0.5016764618948285,False
f_is_multi_part,-0.14123905257534822,0.14123905257534822,0.01804591589549743,1.0,0.5016764618948285,False
f_is_ambiguous,0.13674728041105133,0.13674728041105133,0.022094155221729972,1.0,0.511847929303411,False
f_stem_word_count,0.12752963807409398,0.12752963807409398,0.032912416212635215,1.0,0.6369057706421286,False
f_oov_like_count,0.12363262470672633,0.12363262470672633,0.03869148397628024,1.0,0.6369057706421286,False
f_sub_question_count,-0.12207003044105058,0.12207003044105058,0.04123850313510185,1.0,0.6369057706421286,False
f_aggregation_flag,0.11526353732171467,0.11526353732171467,0.05403879758043062,1.0,0.6785327263099341,False
f_rare_word_count,0.10977771520916384,0.10977771520916384,0.06661504009328058,1.0,0.6785327263099341,False
f_causal_flag,0.10743312475564397,0.10743312475564397,0.07267662406220517,1.0,0.6785327263099341,False
f_question_mark_count,-0.10652355105656387,0.10652355105656387,0.07514591865711541,1.0,0.6785327263099341,False
f_is_long_scenario,0.10627573039329077,0.10627573039329077,0.07583038149747837,1.0,0.6785327263099341,False
f_hedge_word_count,0.1060735969220236,0.1060735969220236,0.07639239837606297,1.0,0.6785327263099341,False
f_question_category=Comparison,0.10477670373143216,0.10477670373143216,0.0800791619915815,1.0,0.6785327263099341,False
f_is_comparison,0.10184470386660781,0.10184470386660781,0.08894491211263518,1.0,0.6785327263099341,False
f_temporal_expression_count,0.10160291606637963,0.10160291606637963,0.08970981957971652,1.0,0.6785327263099341,False
f_coleman_liau_index,0.10065820733682132,0.10065820733682132,0.09274907769704135,1.0,0.6785327263099341,False
f_difficult_word_count,0.09829437188948939,0.09829437188948939,0.10071468584199798,1.0,0.6799618225685349,False
f_whitespace_ratio,-0.09722583468575638,0.09722583468575638,0.10448899900077432,1.0,0.6799618225685349,False
f_temporal_type=none,-0.09505200911962428,0.09505200911962428,0.11251166848256333,1.0,0.6799618225685349,False
f_has_temporal_constraint,0.09505200911962428,0.09505200911962428,0.11251166848256333,1.0,0.6799618225685349,False
f_mtld,-0.0923564237843661,0.0923564237843661,0.12312168277094783,1.0,0.7130797460484062,False
f_content_word_count,0.08722194333606782,0.08722194333606782,0.14546204138280527,1.0,0.7752392878390644,False
f_has_file_path,0.08627959628145762,0.08627959628145762,0.14987822416853286,1.0,0.7752392878390644,False
f_question_length_chars,0.08613052469448507,0.08613052469448507,0.15058604871694056,1.0,0.7752392878390644,False
f_vague_term_count,0.07986288554570237,0.07986288554570237,0.18269173641797287,1.0,0.8297773569567594,False
f_uppercase_char_ratio,-0.07868322701082887,0.07868322701082887,0.18926097781523496,1.0,0.8297773569567594,False
f_question_type=other,0.07755360449467921,0.07755360449467921,0.19571233319419293,1.0,0.8297773569567594,False
