feature,auc,auc_abs,ci_lo,ci_hi,p,coverage,n,q,significant
f_anchor_density,0.20047464268873733,0.7995253573112626,,,0.0,1.0,21068,0.0,True
f_retrieval_anchor_score,0.21557764042615324,0.7844223595738468,,,0.0,1.0,21068,0.0,True
f_uppercase_char_ratio,0.22199641660486646,0.7780035833951335,,,0.0,1.0,21068,0.0,True
f_anchor_count,0.223413762424666,0.776586237575334,,,0.0,1.0,21068,0.0,True
f_retrieval_difficulty_score,0.7461315649391778,0.7461315649391778,,,0.0,1.0,21068,0.0,True
f_anchor_free_flag,0.74269033605468,0.74269033605468,,,0.0,1.0,21068,0.0,True
f_entity_count,0.2629212137547033,0.7370787862452968,,,0.0,1.0,21068,0.0,True
f_distinct_entity_types,0.2633886397636389,0.7366113602363611,,,0.0,1.0,21068,0.0,True
f_question_category=Reasoning,0.735855325612303,0.735855325612303,,,0.0,1.0,21068,0.0,True
f_question_category=Fact Retrieval,0.2765805961647997,0.7234194038352003,,,0.0,1.0,21068,0.0,True
f_named_entity_hint,0.27666642941501385,0.7233335705849862,,,0.0,1.0,21068,0.0,True
f_underspecification_score,0.7179937682419877,0.7179937682419877,,,0.0,1.0,21068,0.0,True
f_proper_noun_token_count,0.2824561252362859,0.7175438747637142,,,0.0,1.0,21068,0.0,True
f_tokens_per_word,0.29794245051122176,0.7020575494887782,,,0.0,1.0,21068,0.0,True
f_question_type=which,0.30553445984431366,0.6944655401556863,,,0.0,1.0,21068,0.0,True
f_char_entropy,0.3248173192312729,0.6751826807687271,,,0.0,1.0,21068,0.0,True
f_causal_flag,0.6561610024681981,0.6561610024681981,,,0.0,1.0,21068,0.0,True
f_punctuation_density,0.36462407622803683,0.6353759237719632,,,3.7931889797410356e-254,1.0,21068,2.1058738818562303e-253,True
f_max_bpe_fertility,0.3735901249938314,0.6264098750061686,,,3.0458434159476056e-250,1.0,21068,1.634602633225215e-249,True
f_min_word_zipf,0.6237123480455432,0.6237123480455432,,,1.2879339796907545e-212,1.0,21068,6.479917835319109e-212,True
f_entity_org_count,0.37975313169478175,0.6202468683052182,,,0.0,1.0,21068,0.0,True
f_question_type=how,0.61918549458895,0.61918549458895,,,0.0,1.0,21068,0.0,True
f_n_clauses,0.6181895287922633,0.6181895287922633,,,1.3402902619227509e-214,1.0,21068,6.9608623280504155e-214,True
f_digit_char_ratio,0.38188208828364106,0.6181179117163589,,,0.0,1.0,21068,0.0,True
f_question_type=why,0.614676286310993,0.614676286310993,,,0.0,1.0,21068,0.0,True
f_lexical_rarity_score,0.38792599904063574,0.6120740009593643,,,1.1521549709352584e-174,1.0,21068,5.455792656487547e-174,True
f_numeral_count,0.3887417325849567,0.6112582674150433,,,0.0,1.0,21068,0.0,True
f_definite_np_without_entity_count,0.5988756957183929,0.5988756957183929,,,1.805040876191595e-159,1.0,21068,8.303188030481337e-159,True
f_temporal_type=relative,0.5959749382950447,0.5959749382950447,,,0.0,1.0,21068,0.0,True
f_year_count,0.4048475946809825,0.5951524053190175,,,4.2782319516780105e-274,1.0,21068,2.551093867482073e-273,True
f_quoted_span_count,0.40562023361639754,0.5943797663836025,,,0.0,1.0,21068,0.0,True
f_quoted_span_word_count,0.4060359992644898,0.5939640007355103,,,0.0,1.0,21068,0.0,True
f_max_word_len,0.5933557692650835,0.5933557692650835,,,1.436649464882949e-124,1.0,21068,5.6414771669793846e-124,True
f_rare_word_ratio,0.4085985739523495,0.5914014260476506,,,5.573705018865209e-153,1.0,21068,2.492684744548052e-152,True
f_stopword_ratio,0.5910689207700479,0.5910689207700479,,,2.2837861288578807e-116,1.0,21068,8.170879261024863e-116,True
f_max_parse_depth,0.4106127557735331,0.5893872442264669,,,6.820747568015999e-117,1.0,21068,2.4957735419331268e-116,True
f_nested_modifier_depth,0.41153628441706513,0.5884637155829349,,,1.5544685225759884e-129,1.0,21068,6.256735803368353e-129,True
f_entity_person_count,0.41161676914147716,0.5883832308585228,,,5.927981709409672e-181,1.0,21068,2.8921365309544156e-180,True
f_question_category_score,0.4132965937523667,0.5867034062476333,,,5.854342253443674e-109,1.0,21068,2.0054236229881523e-108,True
f_rare_word_count,0.4147406596715819,0.5852593403284181,,,2.1030484532494463e-135,1.0,21068,8.910284236135812e-135,True
f_temporal_type=absolute,0.4151319536738181,0.584868046326182,,,1.7562364994541726e-266,1.0,21068,1.0098359871861492e-265,True
f_is_ambiguous,0.5833016897664705,0.5833016897664705,,,7.249096541468059e-283,1.0,21068,4.4888636276013744e-282,True
f_avg_chars_per_word,0.5793194532164673,0.5793194532164673,,,1.754249799600816e-88,1.0,21068,5.537925837955517e-88,True
f_hop_estimate,0.4214519015320449,0.5785480984679551,,,3.0692783772524975e-100,1.0,21068,1.0084771810972491e-99,True
f_polysyllable_count,0.5681375917679962,0.5681375917679962,,,9.570500958527662e-69,1.0,21068,2.751519025576703e-68,True
f_avg_syllables_per_word,0.5673283827943252,0.5673283827943252,,,2.6635053184075217e-64,1.0,21068,7.393523383855362e-64,True
f_coleman_liau_index,0.5664879297786054,0.5664879297786054,,,1.018779236847332e-62,1.0,21068,2.7800585954647534e-62,True
f_context_token_count,0.4343726692007715,0.5656273307992286,,,2.7252843786880815e-61,1.0,21068,7.192963688012805e-61,True
f_entity_place_count,0.4361065603332275,0.5638934396667725,,,4.575308400568413e-112,1.0,21068,1.6013579401989446e-111,True
f_long_word_ratio,0.5588416241220803,0.5588416241220803,,,1.488808498706102e-49,1.0,21068,3.631790428661855e-49,True
f_flesch_reading_ease,0.4415154969907851,0.5584845030092149,,,6.147084837047406e-49,1.0,21068,1.4771353115890035e-48,True
f_whitespace_ratio,0.4473672798693673,0.5526327201306327,,,5.585373351547106e-40,1.0,21068,1.2665424078860339e-39,True
f_acronym_count,0.4493335232187661,0.5506664767812339,,,5.894136030840793e-153,1.0,21068,2.564745678284778e-152,True
f_dale_chall_score,0.4507377252729676,0.5492622747270324,,,3.133410216467388e-35,1.0,21068,6.91067184727739e-35,True
f_entity_work_count,0.45147528112338253,0.5485247188766175,,,2.3744142855114867e-118,1.0,21068,8.890248836449985e-118,True
f_avg_words_per_sentence,0.45377566089304644,0.5462243391069536,,,2.390408860788453e-31,1.0,21068,5.131411021159213e-31,True
f_multi_need_score,0.4546319522139004,0.5453680477860996,,,4.8459057375681096e-33,1.0,21068,1.0543119239844131e-32,True
f_question_type=who,0.4556673628251377,0.5443326371748622,,,3.04915193658487e-122,1.0,21068,1.1688415756908669e-121,True
f_non_ascii_ratio,0.4614060065846255,0.5385939934153745,,,8.5988681545173e-134,1.0,21068,3.549789161223809e-133,True
f_gunning_fog,0.5381564191195297,0.5381564191195297,,,8.446224901556663e-22,1.0,21068,1.6788175421612627e-21,True
f_question_type=what,0.46316688817163476,0.5368331118283652,,,3.1182746199391547e-31,1.0,21068,6.605818602765841e-31,True
f_question_complexity_score,0.5365567953601579,0.5365567953601579,,,3.905605818258231e-20,1.0,21068,7.575934177585242e-20,True
f_mean_word_zipf,0.5358712423204272,0.5358712423204272,,,1.910409002334558e-19,1.0,21068,3.6185394044219274e-19,True
f_difficult_word_ratio,0.5352327761337983,0.5352327761337983,,,7.948419121798746e-19,1.0,21068,1.470914343229423e-18,True
f_n_sentences,0.5345556987276258,0.5345556987276258,,,1.7853644606432853e-79,1.0,21068,5.527763041607094e-79,True
