feature,within_stratum_auc,abs,n_strata
f_year_max,0.6070312473730995,0.10703124737309955,3
f_context_token_count,0.6039819899040642,0.10398198990406415,5
f_temporal_expression_count,0.5993781298417703,0.0993781298417703,5
f_content_word_count,0.5955253603141221,0.09552536031412207,5
f_question_length_chars,0.5902563212589518,0.09025632125895178,5
f_has_date_like,0.5870832385806595,0.08708323858065947,2
f_avg_words_per_sentence,0.5869465053227362,0.08694650532273618,5
f_instruction_char_ratio,0.4143908166897263,0.08560918331027367,5
f_entity_count,0.5818443566862407,0.08184435668624068,5
f_question_length_words,0.5817465834004677,0.0817465834004677,5
f_retrieval_difficulty_score,0.5769198671265794,0.07691986712657939,5
f_max_parse_depth,0.5657192897092915,0.06571928970929153,5
f_tokens_per_word,0.5654550946357416,0.06545509463574162,5
f_anchor_count,0.56470589106554,0.06470589106554003,5
f_numeral_count,0.5610831003338761,0.061083100333876095,5
f_named_entity_hint,0.5594904656515449,0.05949046565154492,5
f_entity_person_count,0.5576496625124594,0.0576496625124594,5
f_char_entropy,0.554740812259803,0.054740812259802984,5
f_proper_noun_token_count,0.554054623345218,0.054054623345218045,5
f_mean_word_zipf,0.4476873743677666,0.05231262563223338,5
f_multi_need_score,0.5515896371738582,0.05158963717385823,5
f_dale_chall_score,0.5510882031190878,0.051088203119087794,5
f_hop_estimate,0.5500430506547206,0.05004305065472059,5
f_question_category_score,0.5495770753265367,0.04957707532653666,5
f_digit_char_ratio,0.5489457568414502,0.048945756841450194,5
f_nested_modifier_depth,0.5489375751840072,0.04893757518400721,5
f_stopword_ratio,0.45146775961688523,0.048532240383114766,5
f_difficult_word_count,0.5475700377238053,0.0475700377238053,5
f_word_entropy,0.54598227766458,0.04598227766457996,5
f_vague_term_count,0.4552104393312153,0.0447895606687847,2
f_year_count,0.5435699105474784,0.043569910547478385,5
f_anchor_density,0.5428490432477208,0.042849043247720764,5
f_temporal_risk_score,0.5427757670885891,0.0427757670885891,4
f_underspecification_score,0.4580940710447703,0.04190592895522971,2
f_retrieval_anchor_score,0.5414502716931721,0.04145027169317206,5
f_distinct_entity_types,0.5403078880232705,0.040307888023270455,5
f_max_bpe_fertility,0.5355402249972913,0.03554022499729126,5
f_polysyllable_count,0.534822688237985,0.034822688237984956,5
f_lexical_rarity_score,0.5323149508083735,0.032314950808373544,5
f_year_span,0.530579135696199,0.030579135696198967,3
f_quoted_span_count,0.5301568609864581,0.03015686098645809,5
f_year_min,0.5285564480687299,0.028556448068729923,3
f_entity_place_count,0.5282204343999966,0.028220434399996552,5
f_rare_word_count,0.5273245403249717,0.02732454032497167,5
f_root_type_token_ratio,0.5272924015709749,0.0272924015709749,5
f_gunning_fog,0.5271588888612092,0.027158888861209207,5
f_quoted_span_word_count,0.5269976842654972,0.0269976842654972,5
f_uppercase_char_ratio,0.5258669347214434,0.025866934721443413,5
f_question_category=Math,0.47494522743552103,0.025054772564478967,4
f_definite_np_without_entity_count,0.5248386654232474,0.02483866542324742,5
f_jargon_ratio,0.5241729489119021,0.024172948911902137,5
f_type_token_ratio,0.4760157244955539,0.023984275504446095,5
f_question_type=what,0.4775992186170632,0.022400781382936774,3
f_question_type=when,0.5213497445606349,0.021349744560634876,3
f_question_type_secondary=when,0.4790265338616584,0.020973466138341612,2
f_domain_hint=medical,0.4820877377592832,0.017912262240716792,2
f_has_enumeration_request,0.5173971612205878,0.017397161220587765,3
f_distinct_wh_count,0.482702762771344,0.017297237228656004,5
f_punctuation_density,0.5171646336453586,0.017164633645358585,5
f_question_complexity_score,0.5163678418961277,0.01636784189612772,5
f_domain_hint=finance,0.5162495259474372,0.016249525947437227,4
f_question_type=which,0.4851441065435012,0.014855893456498792,4
f_domain_hint=science,0.4862446852749326,0.013755314725067413,2
f_entity_work_count,0.5134144891077576,0.013414489107757555,5
f_domain_hint=business,0.4866259044179079,0.013374095582092127,5
f_has_relative_recency,0.5131853154806374,0.013185315480637394,4
f_id_like_token_count,0.5126721732756437,0.012672173275643739,4
f_oov_like_count,0.5120432988371961,0.012043298837196126,5
f_instruction_line_count,0.4882318381494471,0.011768161850552905,3
f_has_output_format_request,0.5111735972430315,0.011173597243031463,2
f_wh_word_count,0.48895451539497986,0.01104548460502014,5
f_template_repetition_score,0.5101169835630878,0.010116983563087767,5
f_sub_question_count,0.5100907197220892,0.010090719722089192,3
f_n_sentences,0.49000742715367884,0.009992572846321157,5
f_domain_hint=legal,0.5099558952482763,0.009955895248276336,2
f_domain_hint=history,0.5099009071308952,0.009900907130895198,4
f_n_clauses,0.509792874238716,0.009792874238715998,5
f_question_type=who,0.509696260721316,0.009696260721316019,4
f_n_lines,0.5095778411699129,0.009577841169912893,2
f_question_category=Fact Retrieval,0.5094441829834697,0.009444182983469718,5
f_coleman_liau_index,0.50935545694236,0.009355456942359952,5
f_percent_count,0.5087548051554671,0.008754805155467116,3
f_has_length_limit,0.49167289882633664,0.008327101173663365,4
f_question_type_secondary=whose,0.49186386530674414,0.008136134693255859,3
