feature,auc,auc_abs,ci_lo,ci_hi,p,coverage,n,q,significant
f_instruction_line_count,0.6944701931871897,0.6944701931871897,0.6560595932801455,0.730493243457858,1.137408584901966e-20,1.0,900,1.6151201905607917e-18,True
f_context_token_count,0.6235059760956175,0.6235059760956175,0.5773943337852961,0.6647455326009132,8.77145546078996e-09,1.0,900,1.556933344290218e-07,True
f_question_length_chars,0.6184353495110467,0.6184353495110467,0.5656877229469456,0.6572297334109128,3.4587033273900324e-08,1.0,900,5.45706524988205e-07,True
f_question_length_words,0.6138865186403847,0.6138865186403847,0.5726212325167646,0.6570226617340581,1.1253635713569377e-07,1.0,900,1.5980162713268514e-06,True
f_content_word_count,0.6131283801619409,0.6131283801619409,0.5688299029499935,0.6558240767237279,1.3573485140932113e-07,1.0,900,1.6061957416769668e-06,True
f_definite_np_without_entity_count,0.6074929864517278,0.6074929864517278,0.5689690778929893,0.6451364059435253,5.09879044661599e-07,1.0,900,5.171630310139075e-06,True
f_n_sentences,0.605586897402685,0.605586897402685,0.5688054661195404,0.6412988381620063,4.833310167405237e-07,1.0,900,5.171630310139075e-06,True
f_punctuation_density,0.6018944253801435,0.6018944253801435,0.5542726473511336,0.6470070567833583,1.9956460436596615e-06,1.0,900,1.5743429899981775e-05,True
f_type_token_ratio,0.4000270106016611,0.5999729893983389,0.36299056271671964,0.4377588780995509,3.2134107316719776e-06,1.0,900,2.4016017047232673e-05,True
f_difficult_word_count,0.5986224593152812,0.5986224593152812,0.5460393814274136,0.6410713691726176,4.287594047916907e-06,1.0,900,2.905655583079702e-05,True
f_word_entropy,0.5959306073088232,0.5959306073088232,0.5484070900654047,0.6437105329241072,7.859473057869509e-06,1.0,900,4.8523703226846535e-05,True
f_negation_count,0.5956666400653166,0.5956666400653166,0.5573086171850169,0.6335367977425376,4.575636162139625e-06,1.0,900,2.9533651591992127e-05,True
f_oov_like_count,0.594856322015482,0.594856322015482,0.5508144512942164,0.6347185922522164,4.297096284836179e-06,1.0,900,2.905655583079702e-05,True
f_anchor_count,0.5936531224869398,0.5936531224869398,0.5500272432916419,0.6430855632543143,1.2527957326525594e-05,1.0,900,7.115879761466538e-05,True
f_question_category_score,0.5929809268319634,0.5929809268319634,0.5478859456729243,0.63553402527677,9.328024399866065e-06,1.0,900,5.519081103254089e-05,True
f_entity_count,0.5927537922270855,0.5927537922270855,0.5445575189247022,0.639409658251676,1.4979316354196921e-05,1.0,900,7.878010823318381e-05,True
f_dale_chall_score,0.5925051719163407,0.5925051719163407,0.5486923352932528,0.6338777886499115,1.6410331844415425e-05,1.0,900,8.322382578239251e-05,True
f_year_max,0.5924179776791717,0.5924179776791717,0.5396771723751588,0.6479413809655306,0.0008536053354142775,0.6111111111111112,550,0.002818882735554126,True
f_quoted_span_count,0.5919005027655173,0.5919005027655173,0.553194565476664,0.6317212391407298,1.359098721488912e-05,1.0,900,7.422769940439443e-05,True
f_quoted_span_word_count,0.5900742177668371,0.5900742177668371,0.5554720593214977,0.6264252513912932,2.1680944853723974e-05,1.0,900,0.00010371344251840517,True
f_numeral_count,0.5894511322966992,0.5894511322966992,0.5428335778959398,0.6324884974271048,2.6616307456319932e-05,1.0,900,0.00012191985996120744,True
f_question_type=when,0.5893590507001271,0.5893590507001271,0.5611052199469149,0.6166766454246292,1.265421622348245e-07,1.0,900,1.6061957416769668e-06,True
f_id_like_token_count,0.5884597204402728,0.5884597204402728,0.5536134540631373,0.6176602380574723,1.3354578394861048e-06,1.0,900,1.1155000776883934e-05,True
f_has_output_format_request,0.5871583005420536,0.5871583005420536,0.5571646793551406,0.6188045787427393,6.074795180448038e-07,1.0,900,5.750806104157477e-06,True
f_constraint_count,0.5865873946433066,0.5865873946433066,0.5447714656803608,0.6280581196144468,2.19112906729025e-05,1.0,900,0.00010371344251840517,True
f_distinct_entity_types,0.5865106599794965,0.5865106599794965,0.5393448326362685,0.6302909022277664,4.5191745753067936e-05,1.0,900,0.00018874199696869548,True
f_hop_estimate,0.5843344649138424,0.5843344649138424,0.5453786686456382,0.6263471234073111,3.138667476436266e-05,1.0,900,0.00013927836926685928,True
f_has_chain_of_thought_cue,0.5836100896874751,0.5836100896874751,0.5582141819453951,0.6150536093213588,1.9946715651968265e-19,1.0,900,1.4162168112897468e-17,True
f_temporal_expression_count,0.5812251763362574,0.5812251763362574,0.5347800678375857,0.6270866727005583,0.00013331277279875095,1.0,900,0.0005258448260395176,True
f_output_format=steps,0.5799268258245907,0.5799268258245907,0.5553628160534162,0.6071722589043491,1.171796914753521e-06,1.0,900,1.0399697618437498e-05,True
f_multi_need_score,0.5779532102713951,0.5779532102713951,0.5362190866831942,0.6207858776716033,0.00010816135863258858,1.0,900,0.00043882608359507364,True
f_temporal_type=range,0.575982664104752,0.575982664104752,0.5489965233902251,0.6041106939609142,2.9356187884226566e-11,1.0,900,1.042144669890043e-09,True
f_max_bpe_fertility,0.5753841337270332,0.5753841337270332,0.5368860498923624,0.6123119442827252,3.7501010828007e-05,1.0,900,0.00016136798598718165,True
f_n_clauses,0.5753687867942714,0.5753687867942714,0.5375590818376778,0.6165145377691112,0.0004344000088810594,1.0,900,0.0015816615707977034,True
f_char_entropy,0.5744172769630261,0.5744172769630261,0.5247215701858545,0.6267497024498181,0.0005155027082201375,1.0,900,0.0017938415675162556,True
f_question_type=other,0.42632858396920786,0.5736714160307921,0.39853486062140675,0.45623171165091114,2.0189544326338985e-10,1.0,900,4.095593277628766e-09,True
f_is_wh_question,0.5736714160307921,0.5736714160307921,0.5448268232439775,0.6035294680965785,2.0189544326338985e-10,1.0,900,4.095593277628766e-09,True
f_temporal_type=relative,0.4296742153113279,0.5703257846886721,0.4059342331060339,0.45657701937397216,1.9256822647243023e-10,1.0,900,4.095593277628766e-09,True
f_difficult_word_ratio,0.4306963210332783,0.5693036789667216,0.3883158961782233,0.47048659301393597,0.001245685691662342,1.0,900,0.003930830404801169,True
f_has_math_expression,0.5680421610936839,0.5680421610936839,0.53485774777058,0.6051498483129735,0.00019784258553489376,1.0,900,0.0007592877607014842,True
f_jargon_ratio,0.5673546185059455,0.5673546185059455,0.5240420564361091,0.6066393500450716,0.001703668392503992,1.0,900,0.005259150255121019,True
f_has_date_like,0.5662281536412133,0.5662281536412133,0.5299446575543988,0.6012140140122144,0.00030012048241132206,1.0,900,0.0011215028553265194,True
f_root_type_token_ratio,0.5657002191541999,0.5657002191541999,0.5169818361604444,0.6112852949567495,0.0022125281369886427,1.0,900,0.006684659477710367,True
f_hedge_word_count,0.5652612968772062,0.5652612968772062,0.5289034183678547,0.5994763054864366,0.0005179401709025808,1.0,900,0.0017938415675162556,True
f_conditional_flag,0.5640089871638254,0.5640089871638254,0.5413665639010955,0.5919541184037262,5.455348560077734e-15,1.0,900,2.582198318436794e-13,True
f_nested_modifier_depth,0.5619862614257916,0.5619862614257916,0.5235034079106968,0.6007289707474528,0.0012184516629639441,1.0,900,0.003930830404801169,True
f_polysyllable_count,0.5612864412918435,0.5612864412918435,0.5228763786864263,0.6030153985830579,0.004278188917887563,1.0,900,0.012150056526800679,True
f_wh_word_count,0.5608904904265833,0.5608904904265833,0.520421202964511,0.6044042923056332,0.0023771021465302422,1.0,900,0.007032260516818632,True
f_rare_word_count,0.5602090866119497,0.5602090866119497,0.5182353446117711,0.6057378907249634,0.0041456958991504264,1.0,900,0.012014057503660419,True
f_percent_count,0.5577658549162364,0.5577658549162364,0.5243534753600629,0.5885856987788499,0.0007627124065332449,1.0,900,0.002578694326850495,True
f_distinct_wh_count,0.5547394397755665,0.5547394397755665,0.5125677052778023,0.595099829634144,0.005042065774349437,1.0,900,0.014038692940345491,True
f_uppercase_char_ratio,0.4463348455177748,0.5536651544822252,0.40588493414084004,0.48922202561347616,0.012320699425581127,1.0,900,0.031241773543437858,True
f_tokens_per_word,0.5518572858028594,0.5518572858028594,0.5059613199556023,0.5995305225180421,0.015452225023076818,1.0,900,0.038495016724156284,True
f_aggregation_flag,0.5505988373163739,0.5505988373163739,0.5156699647799977,0.5865151313165874,0.006473565950316052,1.0,900,0.01767781471047845,True
f_max_parse_depth,0.5463753614202665,0.5463753614202665,0.5015804404696795,0.5879041225537233,0.028326968912587243,1.0,900,0.06594146861618669,False
f_causal_flag,0.5454606842276503,0.5454606842276503,0.5059805426963785,0.5876617147636629,0.011640230240219943,1.0,900,0.03005295807474967,True
f_retrieval_anchor_score,0.5438431175145335,0.5438431175145335,0.5007351858082651,0.5867976620040867,0.04112570521359515,1.0,900,0.0941911312956534,False
f_is_ambiguous,0.5428486362715548,0.5428486362715548,0.5083190708567535,0.5734639904088156,0.011017821268885614,1.0,900,0.028972789262625136,True
f_retrieval_difficulty_score,0.5424281303138755,0.5424281303138755,0.49497894443771134,0.5822143712295214,0.048124245486158714,1.0,900,0.10847052157197677,False
f_underspecification_score,0.54092720028975,0.54092720028975,0.5103855990602296,0.5732189395114691,0.01627626013456196,1.0,900,0.039566238192657685,True
f_vague_term_count,0.5407246207772914,0.5407246207772914,0.5090565907936392,0.5708968445706,0.016832568053625253,1.0,900,0.0398370777269131,True
f_anchor_density,0.5403010454330598,0.5403010454330598,0.4960737354978562,0.5840326680122252,0.06049825731575589,1.0,900,0.1342305084193334,False
f_lexical_rarity_score,0.5382169319639776,0.5382169319639776,0.4919163718316976,0.5856328749539934,0.0750341343095993,1.0,900,0.15902756823825526,False
f_instruction_char_ratio,0.462206643380254,0.5377933566197459,0.42179622609562223,0.5087866969372399,0.07831667684809492,1.0,900,0.1635436487121982,False
f_year_span,0.5327753126260589,0.5327753126260589,0.4781869497397092,0.5836589318954043,0.21196507339106874,0.6111111111111112,550,0.35832190978014,False
f_has_enumeration_request,0.4672926168975868,0.5327073831024132,0.43792544269380923,0.4979787745891949,0.016439493333569036,1.0,900,0.039566238192657685,True
f_question_category=Fact Retrieval,0.4685848286361487,0.5314151713638513,0.4301067944587648,0.505146629559511,0.08775007224037926,1.0,900,0.18058710519034574,False
f_temporal_risk_score,0.531344575473146,0.531344575473146,0.49261360548263755,0.5698996207510597,0.10517214081181529,1.0,900,0.21034428162363059,False
f_question_category=Math,0.5307092124567984,0.5307092124567984,0.4991019650907923,0.5599372716988169,0.06687671747325927,1.0,900,0.1460999058646587,False
f_mean_word_zipf,0.46946881196324103,0.5305311880367589,0.42373979430481873,0.5155873606969282,0.15471279200042928,1.0,900,0.29292288618747947,False
f_n_lines,0.530304053431881,0.530304053431881,0.48673732339725734,0.5712629533079234,0.14614042112373965,1.0,900,0.2842731479393292,False
f_year_min,0.5295986284792255,0.5295986284792255,0.4774444749980926,0.5809519206414874,0.28655124249298514,0.6111111111111112,550,0.4471458948791636,False
f_gunning_fog,0.4706904278110977,0.5293095721889023,0.4252849921665539,0.5172968983970418,0.17222311821023317,1.0,900,0.3135343946904245,False
f_max_word_len,0.5292359069116446,0.5292359069116446,0.48897976787993347,0.5752290103989233,0.15417329416868256,1.0,900,0.29292288618747947,False
f_avg_chars_per_word,0.4725627536080638,0.5274372463919361,0.43083122093849713,0.5109123598049282,0.20120780207820632,1.0,900,0.34843302311104024,False
f_named_entity_hint,0.527154862829115,0.527154862829115,0.48812869404297693,0.5692597662291043,0.19634557787178675,1.0,900,0.3442107661456015,False
