feature,spearman,abs_spearman,p,coverage,q,significant
f_is_best_answer_judgment,0.20423345614802835,0.20423345614802835,0.0005849366497621365,1.0,0.08130619431693697,False
f_has_escape_option,0.18476466983354006,0.18476466983354006,0.0019050626631738725,1.0,0.13240185509058414,False
f_is_except_ask,0.16819114929514628,0.16819114929514628,0.004773765464574665,1.0,0.2211844665252928,False
f_aggregation_flag,0.14244655265445094,0.14244655265445094,0.01707453258133501,1.0,0.5933400072013917,False
f_domain_hint=finance,-0.1358199157091114,0.1358199157091114,0.023021479513106156,1.0,0.6327097596181064,False
f_core_question_ratio,0.1247651817687345,0.1247651817687345,0.03692964579320274,1.0,0.6327097596181064,False
f_max_parse_depth,0.12383200329130248,0.12383200329130248,0.038376270334204994,1.0,0.6327097596181064,False
f_question_type=what,-0.12320278396716197,0.12320278396716197,0.03937850309764655,1.0,0.6327097596181064,False
f_domain_hint=legal,0.1222327663600102,0.1222327663600102,0.04096681896807883,1.0,0.6327097596181064,False
f_hop_estimate,0.11788543332393547,0.11788543332393547,0.04876360942448573,1.0,0.6359981179314528,False
f_has_file_path,0.1170827946631242,0.1170827946631242,0.050330786311122165,1.0,0.6359981179314528,False
f_punctuation_density,-0.11378634951397619,0.11378634951397619,0.05721393084635919,1.0,0.6627280323036606,False
f_has_relative_recency,-0.11041549793804822,0.11041549793804822,0.06503978260670475,1.0,0.6954253678716893,False
f_question_category=Math,-0.10697604923043741,0.10697604923043741,0.07390909945146333,1.0,0.7204766570737141,False
f_question_category=Reasoning,0.10402789932214142,0.10402789932214142,0.08227248975537767,1.0,0.7204766570737141,False
f_difficult_word_count,0.10190089724199305,0.10190089724199305,0.08876789221570955,1.0,0.7204766570737141,False
f_is_ambiguous,0.0989536169577738,0.0989536169577738,0.09844051763634334,1.0,0.7204766570737141,False
f_char_entropy,-0.09820613476123652,0.09820613476123652,0.1010222079975091,1.0,0.7204766570737141,False
f_entity_org_count,0.09408961514983569,0.09408961514983569,0.11621424861605889,1.0,0.7204766570737141,False
f_is_wh_question,-0.09313789070070154,0.09313789070070154,0.11996875573323425,1.0,0.7204766570737141,False
f_question_type=other,0.09313789070070154,0.09313789070070154,0.11996875573323425,1.0,0.7204766570737141,False
f_nested_modifier_depth,0.08835943567429175,0.08835943567429175,0.14026417196545415,1.0,0.7204766570737141,False
f_distinct_wh_count,-0.08776666470825945,0.08776666470825945,0.1429548739730554,1.0,0.7204766570737141,False
f_anchor_free_flag,0.08704468889935664,0.08704468889935664,0.14628506373192554,1.0,0.7204766570737141,False
f_boolean_operator_count,0.08704468889935664,0.08704468889935664,0.14628506373192554,1.0,0.7204766570737141,False
f_rare_word_count,0.08700397450602042,0.08700397450602042,0.1464746070850002,1.0,0.7204766570737141,False
f_difficult_word_ratio,0.0858150486270068,0.0858150486270068,0.15209235162509616,1.0,0.7204766570737141,False
f_retrieval_anchor_score,-0.08533808630581473,0.08533808630581473,0.15439132795690236,1.0,0.7204766570737141,False
f_sub_question_count,-0.08115317097807083,0.08115317097807083,0.175700661137689,1.0,0.7204766570737141,False
f_is_long_scenario,0.08055911704705411,0.08055911704705411,0.17889433242063107,1.0,0.7204766570737141,False
f_negation_count,0.08053119974024289,0.08053119974024289,0.17904546718897607,1.0,0.7204766570737141,False
f_content_word_count,0.08037278815498501,0.08037278815498501,0.1799048421713777,1.0,0.7204766570737141,False
f_has_length_limit,-0.08036690539792932,0.08036690539792932,0.1799368144440062,1.0,0.7204766570737141,False
f_conditional_flag,-0.07525266998548258,0.07525266998548258,0.2093460446381836,1.0,0.7204766570737141,False
